# Ensemble Comparison Report (threshold = 0.02)
# Format: SMILES	Classical	Hybrid	Ensemble	(Ensemble - Classical)	(Ensemble - Hybrid)
COC(=O)C1(C)CCC(=O)C(C)=C1C=CC(C)=O	0.9322	0.9507	0.9536	+0.0214	+0.0029
COc1ccc(C=NNC(=O)c2ccc(C)cc2OC)c(OC)c1	0.9452	0.9418	0.9500	+0.0048	+0.0082
CC(C)(C)c1ccccc1S	0.9149	0.9033	0.9155	+0.0006	+0.0121
Cc1cccc(I)n1	0.8280	0.8533	0.8581	+0.0300	+0.0047
Cc1cc(C(N)=S)nc(Oc2ccc(C(N)=O)cc2)n1	0.8811	0.9156	0.9111	+0.0300	-0.0044
Cc1ccccc1N1CC(C(=O)Nc2nnc(COc3ccc(Cl)cc3)s2)CC1=O	0.8493	0.9357	0.8982	+0.0489	-0.0375
Nc1nc(NCCN2CCOCC2)nc(N2CCCCC2)c1[N+](=O)[O-]	0.9035	0.9075	0.9105	+0.0070	+0.0030
CC(C)CCC1CCN(c2ccc(C(=O)N(C)C)nn2)CC1	0.8818	0.8932	0.8920	+0.0102	-0.0012
Cc1ccc(C(=O)C=Cc2ccc(O)c([N+](=O)[O-])c2)cc1C	0.9494	0.9665	0.9668	+0.0174	+0.0003
CN(C)C1CCCCC1	0.9169	0.9367	0.9320	+0.0150	-0.0047
CC#CCOCC1=CC(=O)C(OC)=C(OC)C1=O	0.8097	0.7964	0.8113	+0.0016	+0.0149
CCOC(=O)c1c(C(=O)c2ccccc2)nnn1-c1ccsc1	0.8406	0.8258	0.8550	+0.0144	+0.0292
CCCCCCCC(O)C1=CC(=C(Br)Br)OC1=O	0.7624	0.8373	0.8180	+0.0556	-0.0193
Cc1nn(C)c2ncc(C=C(C#N)C(=O)Nc3ccc(F)c(Cl)c3)cc12	0.9571	0.9611	0.9643	+0.0072	+0.0032
c1cc2nnnn2nc1NCC1CCN(C2CC2)C1	0.9015	0.9250	0.9244	+0.0229	-0.0006
O=C(CN1CCCCC1c1nc2ccccc2s1)NCCc1c[nH]c2ccccc12	0.9434	0.9268	0.9472	+0.0038	+0.0204
CC(C)c1ccc2ncccc2c1	0.8829	0.9448	0.9245	+0.0417	-0.0203
O=C(CCCc1c[nH]c2ccccc12)NN=Cc1c(F)cccc1Cl	0.9049	0.9461	0.9331	+0.0282	-0.0130
CCOc1nn(OCC)c(=O)cc1C	0.9224	0.9373	0.9487	+0.0262	+0.0113
CCCOc1ccc(C(O)=C2C(=O)C(=O)N(c3ccc(F)cc3F)C2c2ccccc2)cc1	0.9565	0.9533	0.9592	+0.0027	+0.0059
CCCCC(=O)C(C)(C)C	0.9372	0.8927	0.9273	-0.0099	+0.0346
CO[C@H]1O[C@@H]2COC(c3ccccc3)O[C@H]2C[C@H]1OC(=O)c1ccccc1	0.8237	0.8721	0.8588	+0.0351	-0.0133
Cc1cccc(OCc2nc3ccccc3n2CCO)c1	0.9725	0.9699	0.9769	+0.0044	+0.0070
CNC1CCCCC1Nc1nc(Nc2ccc3nccnc3c2)c(C(N)=O)cc1F	0.9233	0.9380	0.9368	+0.0135	-0.0012
O=C1OC2=CC=CC1O2	0.6330	0.5887	0.6323	-0.0006	+0.0436
Cc1ccsc1C=CC(=O)Nc1cccc(S(=O)(=O)N(C)C)c1	0.9411	0.9745	0.9699	+0.0288	-0.0046
Cc1ccc(I)c(C(=O)O)c1	0.9479	0.9162	0.9433	-0.0045	+0.0271
Cc1nc(Oc2cccc(F)c2)sc1N	0.8721	0.8436	0.8668	-0.0054	+0.0232
CCN(CC(=O)O)c1nccn(C)c1=O	0.8023	0.7509	0.7852	-0.0171	+0.0343
COc1cc(-c2cccc(F)c2)ncc1-n1c(=O)ccc2cc(SCc3ccccc3)ccc21	0.8346	0.9205	0.8833	+0.0487	-0.0372
CC(C)OCCOC(=O)c1ccccc1	0.9639	0.9598	0.9696	+0.0058	+0.0098
COc1ccc(CCC(=O)N2CCC(S(C)(=O)=O)C2)cc1	0.9504	0.9437	0.9595	+0.0092	+0.0158
COC(=O)Cc1ccccc1Cl	0.9636	0.9472	0.9596	-0.0040	+0.0124
NCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCC(Nc2ccc(Cl)cc2)CC1	0.8686	0.9286	0.9054	+0.0368	-0.0232
CCOC(=O)c1c(C(=O)OCC)c(O)c2nc3ccccc3nc2c1O	0.9089	0.8554	0.9038	-0.0052	+0.0484
O=C(O)c1ccc(Nc2cncnc2)nn1	0.9055	0.9223	0.9268	+0.0213	+0.0045
C=C1C(=O)OC2CC(C)C3C4CC(=O)C3(CO4)CC12	0.8327	0.9288	0.8948	+0.0620	-0.0340
CCCCCC12CC(=O)NC(=O)C1=CCC(OC)C2	0.9035	0.8992	0.9053	+0.0017	+0.0061
Brc1ccc(-c2cc(-c3ccc(Br)cc3)cc(-c3ccc(Br)cc3)c2)cc1	0.7760	0.8461	0.8277	+0.0517	-0.0184
N=C(O)CC[C@@H](N)C(=O)O	0.9814	0.9788	0.9819	+0.0006	+0.0032
CC(=N)C(C=CC(=O)N1CCC=CC1=O)=C(C)N	0.8691	0.8862	0.8879	+0.0189	+0.0018
Cc1ccccc1NC(=O)C(=O)NN=Cc1ccccc1	0.9235	0.9287	0.9348	+0.0113	+0.0061
Cc1ccc(C(=O)N2CCN(Cc3nc(N)c4ccccc4n3)CC2)cc1[N+](=O)[O-]	0.9456	0.9361	0.9468	+0.0013	+0.0107
Cc1cc(O)c(C(=O)C=Cc2cn(-c3ccccc3)nc2-c2ccccc2)c(=O)o1	0.8891	0.8664	0.8874	-0.0017	+0.0210
Cc1ccc(NC(C)c2cccc3ccccc23)c(Br)c1	0.8730	0.8889	0.8903	+0.0173	+0.0013
CCS(=O)(=O)N1CCCC(C(=O)N2CCN3C(=O)NC(=O)C3C2)C1	0.9301	0.8382	0.9036	-0.0265	+0.0653
C=C(CCCCCCCCCCCCC(=O)O)C(=O)O	0.9722	0.9616	0.9769	+0.0047	+0.0153
CC(C)Cc1ccc(CCCCC(=O)c2c[nH]c3ccccc23)cc1	0.8757	0.8860	0.8889	+0.0133	+0.0030
CCCOc1ccc(C(O)=C2C(=O)C(=O)N(c3cccc(OCC)c3)C2c2ccccc2)cc1C	0.9827	0.9854	0.9882	+0.0055	+0.0029
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)NC(C)[Si](C)(C)c1ccccc1)OCC3	0.7931	0.7276	0.7673	-0.0258	+0.0397
Cc1ccccc1OCC(=O)O	0.9637	0.9680	0.9718	+0.0081	+0.0038
COCCCN	0.9646	0.9706	0.9740	+0.0093	+0.0034
CCCc1cc(=O)n2c3ccccc3n(Cc3cc(C)ccc3C)c2n1	0.8699	0.8853	0.8942	+0.0243	+0.0089
CCN(CC)c1ccc(NC(=O)c2ccc3c(c2)oc(=O)n3C)cc1	0.8438	0.8146	0.8409	-0.0029	+0.0263
Cc1ccc(S(=O)(=O)Oc2cccc([N+](=O)[O-])c2)cc1	0.9161	0.9070	0.9185	+0.0024	+0.0115
CC/C=C\CC(OCC)OCC	0.9696	0.9701	0.9752	+0.0056	+0.0051
C=C(C)C=O	0.7804	0.7961	0.8038	+0.0234	+0.0077
CCc1c(CC)c(CC)c(C(=O)OC)c(CC)c1CC	0.8742	0.8695	0.8758	+0.0016	+0.0063
CC(C)c1ccc(C=NNC(=O)c2cc(-c3ccccc3)n[nH]2)cc1	0.9306	0.9315	0.9411	+0.0105	+0.0096
Cc1ccc(NC(=O)c2ccc(COc3ccccc3)o2)cc1C	0.9764	0.9704	0.9778	+0.0014	+0.0074
